"Kennziffer","Einheit","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"unter 5 Jahre","","16514","17341","18107","18687","19392","19902","20508","21350","22417","23103","24328","25206","25617","26530","28180","29937","31323","32070","32262","31764","31144","30434"
"5 bis unter 10 Jahre","","13376","12905","13189","13925","14844","16019","16912","17527","18112","18844","19379","19988","20647","21721","22700","24128","25353","26427","26879","27645","28421","28908"
"10 bis unter 15 Jahre","","25540","23470","20739","18073","15615","13413","13027","13267","14026","14840","16012","16982","17627","18335","18981","19907","20739","21646","22733","23329","24233","25072"
"15 bis unter 20 Jahre","","28213","27792","27817","27613","27211","26546","24570","22094","19559","17311","15116","15010","15368","16541","17774","19872","21598","22793","23358","23769","23813","24411"
"20 bis unter 25 Jahre","","33464","35191","36300","37207","37522","38603","39213","39422","39632","40160","40786","40895","38748","36831","35570","34070","34622","37589","39257","41055","42618","43753"
"25 bis unter 30 Jahre","","31545","30861","32308","35030","37455","40652","43350","44723","45818","46505","46939","48474","49006","51776","54800","57995","57252","54758","51137","47508","44235","44754"
"30 bis unter 35 Jahre","","39564","38865","37439","35382","33699","32476","32041","33748","36449","38478","41049","43687","44034","46133","48236","50762","52535","54783","56833","58672","59889","58209"
"35 bis unter 40 Jahre","","41573","40973","40487","40022","39131","38432","38015","36745","34780","33012","31519","31079","31679","34472","37481","40916","43286","45127","46517","47833","49032","50378"
"40 bis unter 45 Jahre","","35480","36359","37618","38991","39676","40505","40182","39824","39601","38639","37689","37365","33636","32447","31497","31108","30694","32375","34789","37174","39956","41952"
"45 bis unter 50 Jahre","","35733","35346","34544","34075","33951","34436","35473","36943","38319","39279","39894","39791","36485","36063","35521","35379","35261","34323","32934","31739","30818","30458"
"50 bis unter 55 Jahre","","28374","30755","32326","34182","34369","34277","34056","33430","33073","33293","33599","34918","33908","35252","36396","37286","37111","36824","36235","35565","34962","34671"
"55 bis unter 60 Jahre","","35337","30766","28915","26670","25616","27306","29546","31097","32897","33365","33103","33114","30923","30682","30833","31380","32454","33792","34934","35954","36483","36212"
"60 bis unter 65 Jahre","","38880","40070","39765","39087","37319","33611","29345","27630","25529","24710","26303","28579","28755","30386","30927","30805","30671","30129","29778","30035","30408","31409"
"65 bis unter 70 Jahre","","27915","29608","31239","33808","35503","36774","37947","37779","37110","35571","32097","28141","25551","23655","23064","24577","26598","27944","29338","29731","29410","29070"
"70 bis unter 75 Jahre","","23137","23393","23742","23380","24346","25472","27174","28760","31143","32858","34183","35389","34351","33729","32550","29372","25652","24090","22253","21485","22891","24738"
"75 bis unter 80 Jahre","","17220","17011","17267","18004","19056","19910","20104","20380","20157","21028","22125","23786","24876","27038","28731","30044","31155","30917","30317","29133","26122","22696"
"80 bis unter 85 Jahre","","9904","11510","12899","13788","13783","13440","13428","13617","14349","15094","15722","15886","15938","15711","16444","17540","19001","20348","22175","23589","24764","25526"
"85 Jahre und älter","","11439","10836","10094","9607","10003","10877","11687","12176","12498","12772","13040","13519","13689","14260","14794","15394","15783","16045","16128","17165","18294","19215"
"unter 1 Jahr (Säuglinge)","","3786","3750","3851","3943","4250","4279","4399","4725","5084","5012","5391","5338","5617","5821","6213","6615","6830","6707","6569","6308","6316","6141"
"unter 3 Jahren (Kleinkinder)","","10699","11027","11340","11516","11992","12451","12893","13331","14115","14672","15428","15206","16031","16697","17635","18826","19754","20041","19734","19090","18679","18312"
"unter 6 Jahren (Vorschulkinder)","","18922","20106","21126","21948","22830","23544","24179","25058","26248","27256","28426","28729","30008","31382","33015","35233","36756","37730","37993","37731","37341","36490"
"6 bis unter 10 Jahren (Grundschulkinder)","","10968","10140","10170","10664","11406","12377","13241","13819","14281","14691","15281","15619","16256","16869","17865","18832","19920","20767","21148","21678","22224","22852"
"6 bis unter 15 Jahre (Schulkinder)","","36508","33610","30909","28737","27021","25790","26268","27086","28307","29531","31293","32553","33883","35204","36846","38739","40659","42413","43881","45007","46457","47924"
"15 bis unter 18 Jahren (Schulpflichtige/Auszubildende)","","16475","16048","16122","15982","15833","14967","12940","10704","8635","7997","7694","7813","8516","9303","9993","11000","11624","11864","11946","12373","12753","13183"
"unter 18 Jahren (Minderjährige)","","71905","69764","68157","66667","65684","64301","63387","62848","63190","64784","67413","69095","72407","75889","79854","84972","89039","92007","93820","95111","96551","97597"
"14 Jahren und älter (Strafmündige)","","442918","444820","448002","451854","453253","456504","458915","460896","463483","464519","465926","451839","460174","468437","478286","490273","497518","505837","510288","514710","518113","522108"
"18 Jahren und älter (Volljährige)","","421303","423288","426638","430864","432807","438350","443191","447664","452279","454078","455470","440948","448431","455673","464625","475500","482049","489973","494037","498034","500942","504269"
"15 bis unter 65 Jahren (Erwerbsfähige)","","348163","346978","347519","348259","345949","346844","345791","345656","345657","344752","345997","334695","342542","350583","359035","369573","375484","382493","385772","389304","392214","396207"
"15 bis unter 45 Jahren und weiblich (Gebärfähige)","","99609","99873","101048","102206","102883","104506","104904","104826","104827","104308","104400","102535","105061","107668","110528","114346","116847","120992","123609","125647","127614","129412"
"65 Jahren und älter (Rentner)","","89615","92358","95241","98587","102691","106473","110340","112712","115257","117323","117167","114066","114405","114393","115583","116927","118189","119344","120211","121103","121481","121245"
Jugendquote,"","15,9207","15,4811","14,97328","14,55382","14,40993","14,22369","14,58887","15,08552","15,78299","16,5","17,3","18,3098","18,65202","18,99294","19,45799","20,01553","20,61739","20,9528","21,22342","21,2528","21,36538","21,30553"
Altenquote,"","25,73938","26,61783","27,40598","28,30853","29,68386","30,69766","31,90945","32,60814","33,34433","34","33,9","34,08058","33,39882","32,62936","32,19268","31,6384","31,47644","31,20162","31,16115","31,10757","30,97314","30,60143"
Soziallastquote,"","41,66008","42,09892","42,37926","42,86235","44,09378","44,92135","46,49832","47,69366","49,12732","50,5","51,2","52,39038","52,05084","51,6223","51,65067","51,65393","52,09383","52,15442","52,38457","52,36037","52,33852","51,90696"
Durchschnittsalter in Jahren,"","43,15813","43,36879","43,53239","43,66615","43,80127","43,84754","43,9089","44,00635","44,00606","44,1","44","43,8","43,6","43,4","43,2","42,8","42,6","42,4","42,3","42,3","42,3","42,3"
